id_region,id_batiment,id_client,type_energie,date_facture,montant_facture,montant_paiement,cout_energie,marge_beneficiaire,taux_recouvrement
REG01,BAT001,CLI001,electricite,2025-01-15,1250.50,1250.50,800.00,450.50,100.00
REG01,BAT001,CLI002,electricite,2025-01-15,980.75,980.75,650.00,330.75,100.00
REG01,BAT002,CLI003,electricite,2025-01-20,1562.25,1500.00,1000.00,562.25,96.01
REG01,BAT002,CLI004,electricite,2025-01-20,1428.00,1428.00,900.00,528.00,100.00
REG02,BAT101,CLI005,eau,2025-01-15,350.00,350.00,200.00,150.00,100.00
REG02,BAT101,CLI006,eau,2025-01-18,275.50,250.00,180.00,95.50,90.74
REG02,BAT102,CLI007,eau,2025-01-18,420.00,420.00,250.00,170.00,100.00
REG02,BAT103,CLI008,eau,2025-01-22,385.00,385.00,230.00,155.00,100.00
REG03,BAT201,CLI009,gaz,2025-01-15,750.00,750.00,500.00,250.00,100.00
REG03,BAT201,CLI010,gaz,2025-01-15,680.00,600.00,450.00,230.00,88.24
REG03,BAT202,CLI011,gaz,2025-01-25,825.00,825.00,550.00,275.00,100.00
REG04,BAT301,CLI012,electricite,2025-01-20,1103.00,1103.00,700.00,403.00,100.00
REG04,BAT301,CLI013,electricite,2025-01-20,1346.00,1300.00,850.00,496.00,96.58
REG04,BAT302,CLI014,electricite,2025-01-25,1287.50,1287.50,820.00,467.50,100.00
REG04,BAT303,CLI015,eau,2025-01-22,290.00,290.00,175.00,115.00,100.00
REG04,BAT304,CLI016,eau,2025-01-22,285.00,285.00,170.00,115.00,100.00
REG05,BAT401,CLI017,gaz,2025-01-25,920.00,920.00,600.00,320.00,100.00
REG05,BAT402,CLI018,gaz,2025-01-25,850.00,800.00,560.00,290.00,94.12
REG05,BAT401,CLI019,electricite,2025-01-30,1185.00,1185.00,750.00,435.00,100.00
REG05,BAT402,CLI020,electricite,2025-01-30,1268.00,1200.00,800.00,468.00,94.64

